name,logo_url,industry,hq_location,homepage_url,total_funding,round_name,last_funding,top_3_investors,funding_date,cb_link,favorite,description
"Quantum Systems","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/zakqzkqpyodn43ca9dmf","Aerospace","Germany","https://www.quantum-systems.com/",166.6,"Series B",67.4,"Peter Thiel, European Investment Bank, DTCP",24.10.2023,"https://www.crunchbase.com/organization/quantum-systems","false","Unmanned aerial systems, drones, UAV","HV Capital"
"Raus","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/jsw256giiahvqj03tvha","Travel","Germany","https://raus.life/",12.2,"Venture Round",9.1,"10x Founders, Speedinvest, NFQ Capital",09.11.2023,"https://www.crunchbase.com/organization/raus","false","Raus is a hospitality-tech startup that offers new opportunities to take a break from big city life.","ROCH Ventures"
"Retorio","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/mnljadxj1drhsuqg6tvj","Machine Learning","Germany","http://www.retorio.com",9.8,"Series A",9.8,"Storm Ventures, Passion Capital, SquareOne Venture Capital",15.11.2023,"https://www.crunchbase.com/organization/retorio","false","Detect and scale winning behavior with our AI coaching","SquareOne Venture Capital"
"Risk Ledger","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/eeaywa9lbg27mnp4x5py","Cybersecurity","United Kingdom","https://www.riskledger.com",12.4,"Series A",7.7,"Seedcamp, Episode 1, Lifeline Ventures",07.11.2023,"https://www.crunchbase.com/organization/risk-ledger","false","Risk Ledger is a vendor risk management platform that helps improve the security of the global supply chain ecosystem.","Mercia Ventures"
"Safi","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/hv4k9gmzslrph27du4mf","Marketplace","United Kingdom","https://www.safi.co",25,"Series A",19.5,"Lowercarbon Capital, Giant Ventures, Passion Capital",24.11.2023,"https://www.crunchbase.com/organization/truecircle","false","Safi (previously TrueCircle) is building a marketplace to support waste processing facilities in selling the verified material they reclaim.","Nosara Capital"
"ScaleOps","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/p0apqfbrtw8nbhzrwefh","ERP","Israel","https://scaleops.com",21.5,"Series A",15,"Glilot Capital Partners, Lightspeed Venture Partners, NFX",19.12.2023,"https://www.crunchbase.com/organization/scaleops-9685","false","ScaleOps is a workload optimization platform developer focused on streamlining a new Kubernetes experience for engineering teams.","Lightspeed Venture Partners"
"Silverflow","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/ncgaqkycohsbwo2x1pj4","Fintech","The Netherlands","https://www.silverflow.co/",36.4,"Series A",16.3,"Crane Venture Partners, Inkef, Coatue",16.11.2023,"https://www.crunchbase.com/organization/silverflow","false","Silverflow is a payment processing technology company that provides direct card-network access to payment service providers.","Global PayTech Ventures"
"Sparta","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/nxxqlad5finzcwlogwcf","SaaS","Switzerland","https://spartacommodities.com/",23.5,"Series A",17.5,"Singular, FirstMark",03.10.2023,"https://www.crunchbase.com/organization/sparta-commodities","false","Sparta provides oil traders with the most relevant and actionable data to make faster and smarter trading decisions.","FirstMark"
"Tabnine","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/ogku1tpisbnwok8wga8e","SaaS","Israel","https://www.tabnine.com/",57.1,"Series B",25,"OurCrowd, Qualcomm Ventures, Elaia",08.11.2023,"https://www.crunchbase.com/organization/tabnine","false","Tabnine is an AI coding assistant that accelerates and simplifies the software development process without sacrificing privacy and security.","Titanium Ventures"
"Tacto","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/mm6kwuda8k5bduzehryv","SaaS","Germany","https://tacto.ai",60.9,"Series A",53.8,"Sequoia Capital, Index Ventures, Hanno Renner",11.12.2023,"https://www.crunchbase.com/organization/tacto-e620","false","Tacto optimizes procurement, ensuring compliance, sustainability, and efficient material sourcing for mid-sized industrial firms.","Index Ventures"
